Provinsi,AHH,Desa/Kelurahan Yang Memiliki Sarana Kesehatan - Rumah Sakit,Desa/Kelurahan Yang Memiliki Sarana Kesehatan - Puskesmas,Persentase_Penduduk_Miskin,Kepadatan_Penduduk,Persentase Keluhan Kesehatan,RLS,TPT,HLS
ACEH,70.485,66.0,363.0,12.64,98.0,25.58,9.95,5.75,14.39
SUMATERA UTARA,70.33,176.0,624.0,7.19,215.0,23.99,10.18,5.6,13.49
SUMATERA BARAT,70.38,64.0,280.0,5.42,139.0,30.1,9.72,5.75,14.3
RIAU,72.57,66.0,244.0,6.36,75.0,23.6,9.69,3.7,13.42
JAMBI,72.09,39.0,208.0,7.26,76.0,23.73,9.26,4.48,13.14
SUMATERA SELATAN,70.975,73.0,348.0,10.51,102.0,29.89,8.98,3.86,12.64
BENGKULU,70.18,24.0,181.0,12.52,105.0,28.27,9.4,3.11,13.75
LAMPUNG,71.55000000000001,61.0,323.0,10.62,281.0,29.54,8.8,4.19,12.78
KEP. BANGKA BELITUNG,71.535,23.0,66.0,5.08,92.0,28.8,8.78,4.63,12.49
KEP. RIAU,71.285,26.0,96.0,4.78,264.0,26.26,10.65,6.39,13.27
DKI JAKARTA,74.18,121.0,52.0,4.14,16165.0,24.07,11.49,6.21,13.51
JAWA BARAT,74.41,346.0,1110.0,7.08,1359.0,28.88,9.24,6.75,12.8
JAWA TENGAH,75.1,317.0,888.0,9.58,1104.0,31.86,8.47,4.78,12.86
DI YOGYAKARTA,75.53,66.0,122.0,10.4,1186.0,28.82,10.23,3.48,15.7
JAWA TIMUR,72.39500000000001,341.0,984.0,9.56,870.0,28.75,8.69,4.19,13.43
BANTEN,71.065,106.0,252.0,5.7,1329.0,25.77,9.55,6.68,13.1
BALI,73.34,59.0,120.0,3.8,793.0,19.32,9.87,1.79,13.62
NUSA TENGGARA BARAT,67.78,42.0,178.0,11.91,287.0,38.88,8.5,2.73,13.98
NUSA TENGGARA TIMUR,68.035,65.0,442.0,19.02,122.0,29.56,8.48,3.02,13.23
KALIMANTAN BARAT,71.6,45.0,248.0,6.25,39.0,24.37,8.28,4.86,12.68
KALIMANTAN TENGAH,70.475,27.0,211.0,5.26,18.0,21.37,9.17,4.01,12.77
KALIMANTAN SELATAN,69.695,42.0,243.0,4.02,115.0,29.0,9.02,4.2,12.87
KALIMANTAN TIMUR,75.055,46.0,185.0,5.51,32.0,20.01,10.22,5.14,14.03
KALIMANTAN UTARA,72.775,15.0,60.0,5.38,11.0,19.93,9.58,3.9,13.21
SULAWESI UTARA,72.745,54.0,208.0,6.7,186.0,23.3,10.02,5.85,12.97
SULAWESI TENGAH,69.465,36.0,221.0,11.04,51.0,22.41,9.28,2.94,13.34
SULAWESI SELATAN,71.47999999999999,101.0,475.0,7.77,209.0,23.43,9.22,4.19,13.55
SULAWESI TENGGARA,71.65,33.0,309.0,10.63,77.0,20.87,9.74,3.09,13.71
GORONTALO,69.14,19.0,95.0,13.87,102.0,33.8,8.64,3.13,13.17
SULAWESI BARAT,66.32,12.0,100.0,10.71,91.0,23.33,8.56,2.68,12.89
MALUKU,67.005,31.0,237.0,15.78,42.0,14.38,10.44,6.11,14.09
MALUKU UTARA,69.32,23.0,153.0,6.03,41.0,13.22,9.7,4.03,13.75
PAPUA BARAT,67.1,11.0,91.0,21.09,10.0,14.18,9.87,4.13,13.17
PAPUA BARAT DAYA,67.85,12.0,104.0,16.95,16.0,17.43,10.48,6.48,13.88
PAPUA,68.775,17.0,125.0,18.09,13.0,14.43,10.7,6.48,13.72
PAPUA SELATAN,66.475,9.0,88.0,19.35,5.0,21.24,8.99,4.05,12.67
PAPUA TENGAH,67.00999999999999,14.0,98.0,27.6,24.0,10.72,6.17,2.75,9.63
PAPUA PEGUNUNGAN,64.755,9.0,148.0,29.66,29.0,8.88,5.1,1.32,9.97
