Provinsi,Factor 1,Factor 2,Factor 3
ACEH,0.0252,-0.6269,0.758
SUMATERA UTARA,1.2521,0.2613,0.8317
SUMATERA BARAT,-0.1917,0.5677,0.4651
RIAU,-0.2639,0.7814,-0.0769
JAMBI,-0.5296,0.5153,-0.096
SUMATERA SELATAN,0.0425,0.1576,-0.4242
BENGKULU,-0.5057,-0.0972,-0.357
LAMPUNG,-0.1222,0.1035,-0.4393
KEP. BANGKA BELITUNG,-0.7704,0.937,-0.391
KEP. RIAU,-0.766,0.4928,1.202
DKI JAKARTA,0.1692,0.7844,1.7486
JAWA BARAT,3.2189,0.357,0.6176
JAWA TENGAH,2.8613,0.4638,-0.3592
DI YOGYAKARTA,-0.3499,0.3146,0.1859
JAWA TIMUR,3.286,0.4582,-0.3373
BANTEN,0.2848,0.4613,0.755
BALI,-0.4925,1.5038,-0.5176
NUSA TENGGARA BARAT,-0.1782,0.2022,-1.0489
NUSA TENGGARA TIMUR,0.3331,-1.0877,-0.7915
KALIMANTAN BARAT,-0.421,0.6808,-0.5627
KALIMANTAN TENGAH,-0.6446,0.8311,-0.2951
KALIMANTAN SELATAN,-0.4524,1.0544,-0.4109
KALIMANTAN TIMUR,-0.6574,0.6475,0.6279
KALIMANTAN UTARA,-0.9402,0.8869,-0.0749
SULAWESI UTARA,-0.4108,0.3464,0.7427
SULAWESI TENGAH,-0.3528,0.1104,-0.4255
SULAWESI SELATAN,0.3099,0.4493,-0.1804
SULAWESI TENGGARA,-0.4905,0.0909,-0.1721
GORONTALO,-0.4839,-0.184,-0.7821
SULAWESI BARAT,-0.5089,0.2276,-0.8814
MALUKU,-0.1846,-1.3651,1.3575
MALUKU UTARA,-0.6444,0.6001,0.1418
PAPUA BARAT,-0.3226,-1.7628,0.5753
PAPUA BARAT DAYA,-0.4523,-1.5339,1.4826
PAPUA,-0.4075,-1.7326,1.6506
PAPUA SELATAN,-0.3399,-1.3673,-0.0503
PAPUA TENGAH,-0.0165,-2.2249,-1.7543
PAPUA PEGUNUNGAN,0.1175,-2.3054,-2.7139
